Municipality,Type,County,Population,Area,Incorporated
Milo,Town,Piscataquis,"2,251",33.0,1823
Orland,Town,Hancock,"2,221",47.0,1800
Corinna,Town,Penobscot,"2,221",38.7,1816
Eddington,Town,Penobscot,"2,194",25.0,1811
Deer Isle,Town,Hancock,"2,194",29.7,1789
Canaan,Town,Somerset,"2,193",41.2,1788
Phippsburg,Town,Sagadahoc,"2,155",28.6,1814
Mount Desert,Town,Hancock,"2,146",36.9,1789
Dayton,Town,York,"2,129",17.9,1854
Livermore,Town,Androscoggin,"2,127",37.6,1795
Machias,Town,Washington (seat),"2,060",13.9,1784
St. Albans,Town,Somerset,"2,045",44.8,1813
Van Buren,Town,Aroostook,"2,038",33.8,1881
Boothbay Harbor,Town,Lincoln,"2,027",5.7,1889
Albion,Town,Kennebec,"2,006",38.8,1804
Buckfield,Town,Oxford,"1,983",37.5,1793
Palmyra,Town,Somerset,"1,924",40.2,1807
Sebago,Town,Cumberland,"1,911",32.8,1826
West Bath,Town,Sagadahoc,"1,910",11.8,1844
Mapleton,Town,Aroostook,"1,886",34.0,1880
Otisfield,Town,Oxford,"1,853",39.9,1798
Newcastle,Town,Lincoln,"1,848",29.1,1775
Veazie,Town,Penobscot,"1,814",3.0,1853
Parsonsfield,Town,York,"1,791",58.9,1785
Nobleboro,Town,Lincoln,"1,791",18.9,1788
West Paris,Town,Oxford,"1,766",24.2,1957
Southwest Harbor,Town,Hancock,"1,756",13.5,1905
Randolph,Town,Kennebec,"1,743",2.1,1887
Dresden,Town,Lincoln,"1,725",30.5,1794
Mount Vernon,Town,Kennebec,"1,721",37.9,1792
Lamoine,Town,Hancock,"1,720",17.8,1870
Hartland,Town,Somerset,"1,705",37.1,1820
Gouldsboro,Town,Hancock,"1,703",52.8,1789
Hope,Town,Knox,"1,698",22.0,1804
Newfield,Town,York,"1,648",32.3,1794
Dedham,Town,Hancock,"1,648",39.3,1837
Brownfield,Town,Oxford,"1,631",44.5,1802
Surry,Town,Hancock,"1,623",37.0,1803
Hiram,Town,Oxford,"1,609",37.6,1814
Wales,Town,Androscoggin,"1,608",16.0,1816
Porter,Town,Oxford,"1,600",31.5,1807
Newburgh,Town,Penobscot,"1,595",31.0,1819
Washington,Town,Knox,"1,592",38.0,1811
Trenton,Town,Hancock,"1,584",18.1,1789
Ogunquit,Town,York,"1,577",4.2,1980
East Millinocket,Town,Penobscot,"1,572",7.1,1907
Waterford,Town,Oxford,"1,570",50.2,1797
Palermo,Town,Waldo,"1,570",40.5,1804
Franklin,Town,Hancock,"1,567",36.5,1825
Pownal,Town,Cumberland,"1,566",22.9,1808
Charleston,Town,Penobscot,"1,551",40.6,1811
Northport,Town,Waldo,"1,550",23.8,1796
Tremont,Town,Hancock,"1,544",16.8,1848
Stockton Springs,Town,Waldo,"1,533",19.6,1857
Bradley,Town,Penobscot,"1,532",49.5,1835
Washburn,Town,Aroostook,"1,527",34.2,1861
Limestone,Town,Aroostook,"1,526",40.5,1855
Baldwin,Town,Cumberland,"1,520",35.3,1802
South Thomaston,Town,Knox,"1,511",11.4,1848
Cornish,Town,York,"1,508",22.2,1794
Owls Head,Town,Knox,"1,504",8.9,1921
Cushing,Town,Knox,"1,502",19.2,1789
Peru,Town,Oxford,"1,488",46.7,1821
New Sharon,Town,Franklin,"1,458",46.2,1794
Greenbush,Town,Penobscot,"1,444",43.8,1834
Greenville,Town,Piscataquis,"1,437",42.3,1836
Enfield,Town,Penobscot,"1,435",27.7,1835
Hudson,Town,Penobscot,"1,416",37.6,1824
Appleton,Town,Knox,"1,411",32.7,1829
Searsmont,Town,Waldo,"1,400",37.7,1814
Swanville,Town,Waldo,"1,377",19.7,1818
Milbridge,Town,Washington,"1,375",24.3,1848
Mars Hill,Town,Aroostook,"1,360",35.1,1867
Woodstock,Town,Oxford,"1,352",45.7,1815
Kenduskeag,Town,Penobscot,"1,346",16.8,1852
Chesterville,Town,Franklin,"1,328",36.2,1802
East Machias,Town,Washington,"1,326",34.8,1826
Plymouth,Town,Penobscot,"1,325",29.7,1826
Easton,Town,Aroostook,"1,320",38.7,1865
Castine,Town,Hancock,"1,320",7.8,1796
Baileyville,Town,Washington,"1,318",37.2,1828
Cornville,Town,Somerset,"1,317",40.7,1798
Sangerville,Town,Piscataquis,"1,306",38.4,1814
Hodgdon,Town,Aroostook,"1,290",39.8,1821
Eastport,City,Washington,"1,288",3.6,1798
Vinalhaven,Town,Knox,"1,279",23.5,1789
Guilford,Town,Piscataquis,"1,267",34.9,1816
Jonesport,Town,Washington,"1,245",28.5,1832
Lubec,Town,Washington,"1,237",33.3,1811
Frankfort,Town,Waldo,"1,231",24.6,1789
Etna,Town,Penobscot,"1,226",24.8,1820
Hebron,Town,Oxford,"1,223",22.4,1792
Rangeley,Town,Franklin,"1,222",41.5,1855
Sullivan,Town,Hancock,"1,219",26.7,1789
Woodland,Town,Aroostook,"1,217",35.3,1880
Dixmont,Town,Penobscot,"1,211",36.3,1807
Hartford,Town,Oxford,"1,203",43.9,1798
Sedgwick,Town,Hancock,"1,202",27.0,1789
Ashland,Town,Aroostook,"1,202",80.4,1862
Denmark,Town,Oxford,"1,197",46.1,1807
Edgecomb,Town,Lincoln,"1,188",18.1,1774
